TOQUIHUE  FUNDO;634060;5720545;140;
Rucalan;653855;5716915;127;
Laguna Negra;746800;5676700;213;
El Martillo;733209;5690260;100;
Las Lagunas;743263;5680584;106;
Carilafquen;745198;5678277;967;
Santa Olga;750511;5687783;148;
Santa Amalia;745725;5678180;122;
Santa Susana;748637;5672115;119;
El Amanecer;741681;5682819;129;
Fundo Puelche;752126;5672074;161;
Los Prados;749283;5690545;400;
San Guillermo;693144;5685888;591;
Los Prados;717900;5684084;150;
La Pampa;707034;5683360;170;
Aguas Buenas;688315;5679168;137;
Huilquilco;706213;5692629;1132;
Tricauco;695919;5695018;205;
San Luis;693660;5685797;107;
Fundo La Frontera;729351;5687223;142;
Santa Georgina;698407;5691757;268;
La Esperanza;718832;5692672;130;
Fundo Manzanar;709369;5694990;295;
Santa Elena;704652;5689131;1003;
Pichipillan;718297;5680707;1215;
Fundo Campamento;709248;5688292;1215;
Los Canelos;714491;5682440;179;
Millali;718236;5687327;143;
Fundo Huale;699214;5693354;418;
Santa Andrea;732582;5665924;170;
San Antonio;715158;5685070;202;
Los Nogales;710404;5656830;110;
La Mariposa;706927;5663468;150;
Los Pinos;700649;5671963;176;
Rinconada;703281;5666251;155;
Las Lumas;706033;5666402;120;
El Nogal;695597;5666808;180;
Los Copihues;754706;5730041;228;
Fundo Los Prados;752582;5725775;135;
Pintamahuida;718904;5730720;110;
Santa Gabriela;749750;5728465;180;
Catrimaiten;711815;5642761;440;
Fundo Muquen;714690;5646930;255;
Santa Ana;708810;5642473;160;
Huemuco;709790;5637451;400;
Los Ulmos;701561;5634939;584;
Sapaco Nuevo;700754;5636833;108;
El Parque;720848;5646669;436;
Llucunco;707348;5638494;382;
Chacamo  Fundo;669530;5727903;244;
La Bandera;709791;5710279;148;
Santa Isabel de Vertientes;722410;5742353;211;
Calatayud;731614;5740550;480;
San Antonio;680094;5673240;147;
La Primavera;717624;5662324;230;
El Recreo;701013;5675614;150;
Nueva Etruria;686892;5669490;1150;
San Francisco;677457;5670780;135;
San Carlos 1;680843;5676624;155;
El Arrayan;706340;5674766;296;
Santa Elena;719468;5662902;199;
Trailenco;755744;5647583;360;
Los Patos;641277;5706450;115;
San Pablo;637993;5708070;101;
MONTEMAR;651154;5664796;100;
Parcela 8 EL BUDI;655722;5674997;174;
Los Nogales;659645;5677441;303;
EL BUDI  FUNDO;655911;5675837;587;
CHELLE SUR  FUNDO;649208;5678792;293;
San Carlos;655465;5670158;180;
Parcela 1;653558;5665174;140;
El Danubio;653536;5661784;120;
TRARILONCO;658711;5668523;100;
CARRIZAL  FUNDO;659500;5657300;345;
Collico;658502;5662633;128;
Santa Laura;740494;5717604;220;
Carillanca Leche;724462;5714597;217;
Santa Margarita;723090;5711746;280;
San Pablo;743472;5720232;249;
Quilonco;731331;5707300;206;
Robledal;753206;5730531;646;
Monterrey;731682;5705205;123;
Cuatro Volcanes;750724;5722869;1160;
Los Ma?ios;722199;5700519;180;
Mansun;730392;5714809;443;
La Guitarra  Lote 3;741419;5716134;103;
Fundo Arquenco;732063;5715389;152;
Los Pinos;718382;5716942;248;
Fundo Extremadura;739329;5709329;388;
Los Hualles;738238;5704330;234;
Fundo San Manuel;748377;5714845;102;
Fundo Arquenco;744175;5719080;281;
La Victoria;744520;5714547;150;
Allintue;741934;5660335;106;
Peipihue;748959;5642997;200;
Santa Selma;726547;5649940;220;
Flor Del Lago;744501;5657001;1028;
Fundo Copihual;741791;5655281;371;
Fundo San Carlos;731358;5659970;222;
Don Cristobal;749528;5663709;268;
